id,timestamp,sensor_id,entered,exited,gave_up
65bbfe2c-6db0-475c-8f6d-f149817e0d2f,2024-12-07 08:07:58.182801+00,D80C,1,1,4
947d7904-0114-4c2e-b371-a4eb337e2771,2024-12-07 08:10:58.680758+00,D80C,0,0,2
03b690a7-cec5-4e43-801b-861a526c4c7e,2024-12-07 08:16:59.675428+00,D80C,0,0,2
03536355-616a-486f-b495-fdf26f8d0704,2024-12-07 08:17:59.821475+00,D80C,1,1,0
a35840cc-5604-49ca-ad15-053b64688f11,2024-12-07 08:20:30.324704+00,D80C,1,0,0
e7b5a73a-d8dc-4140-bde4-595c7ea78146,2024-12-07 08:23:00.696323+00,D80C,1,1,0
3a7644d7-0a91-4617-b41f-be3d9ced85c4,2024-12-07 08:26:01.200386+00,D80C,1,1,0
2240ecd1-70d1-4297-a15e-7164ad6513f6,2024-12-07 08:26:31.359301+00,D80C,2,0,0
2f4a9a80-3487-42e2-a704-595b1f4a06b7,2024-12-07 08:31:32.167375+00,D80C,2,0,0
4f43b63b-79b0-459b-ad45-72557a319f57,2024-12-07 08:37:02.8136+00,D80C,1,1,0
e4aa9ad4-ec4a-4caf-b883-c9b05705fb06,2024-12-07 08:38:02.913618+00,D80C,0,2,0
466bb403-e9cb-4d1d-8429-45f676e2fd6f,2024-12-07 08:41:03.161661+00,D80C,0,1,0
d903a343-856b-4d90-b72e-ad7c5c6f1886,2024-12-07 09:20:39.539258+00,D80C,0,2,2
12117f07-0bb9-4033-9d8f-2dc76994a3f4,2024-12-07 09:21:09.640814+00,D80C,1,1,0
5092a85f-23f0-4c0a-9ab9-ebd9c586ecca,2024-12-07 09:22:09.891834+00,D80C,1,0,0
be91c064-7206-4adf-be4e-f8fb8eab5679,2024-12-07 09:54:16.769501+00,D80C,1,0,1
04948b23-5fb9-42fe-8d1c-3b10cfb160e5,2024-12-07 09:56:17.271995+00,D80C,0,1,0
fff04d48-0e51-4b9e-91ec-5656dbd5f480,2024-12-07 10:12:20.635619+00,D80C,0,1,0
91966672-77f9-4969-a854-dcbcc5ab7f16,2024-12-07 10:28:54.380108+00,D80C,0,0,1
2a64e68a-de26-4712-93c0-654f61e21653,2024-12-07 10:32:55.125627+00,D80C,0,1,0
dc27f697-530b-4c92-971c-f0b7efe536ac,2024-12-07 10:44:57.865198+00,D80C,0,1,1
6bc920a6-d083-47c2-b70f-331d1b0a043e,2024-12-07 10:47:28.240447+00,D80C,1,0,0
e7b63cff-f462-473e-b874-2df2af4abf8e,2024-12-07 10:48:58.48942+00,D80C,0,1,0
f68a4ef6-99a4-4285-b961-c18abf3faeb7,2024-12-07 10:55:59.858675+00,D80C,1,0,0
bba97509-3223-43ba-8631-74943663c5b3,2024-12-07 11:03:01.363807+00,D80C,1,0,1
467ba834-f912-4fb1-850e-4fc6cbcdf12d,2024-12-07 11:03:31.478768+00,D80C,0,0,1
5919e48f-c946-48fe-b8c4-e2d925586e53,2024-12-07 11:05:31.85779+00,D80C,0,0,2
8f023b46-6fcc-4816-a193-078f74d5c983,2024-12-07 11:06:01.982606+00,D80C,1,0,0
579a34e4-27bf-4c50-aebf-0c847305201b,2024-12-07 11:10:32.853236+00,D80C,1,0,0
ff836662-0ed3-4c22-93f8-0289ac4c6457,2024-12-07 11:13:03.486392+00,D80C,1,0,1
9a4aa20b-42f1-49f9-bf86-43e4c756a883,2024-12-07 11:16:04.23133+00,D80C,0,0,2
ad0f8bc2-2ec5-4545-a324-ea64dea9e35f,2024-12-07 11:16:34.360885+00,D80C,0,0,2
7bc55951-832c-4dc5-819b-9b085667f613,2024-12-07 11:17:04.358142+00,D80C,0,0,2
4ebf46e7-84ed-4811-b875-9fb04ab548b8,2024-12-07 11:18:04.605752+00,D80C,0,0,2
cac65296-51b6-445c-a50a-e628a211b635,2024-12-07 11:19:34.727676+00,D80C,0,1,1
27b6d507-cdc4-4d10-8240-8254508c8e5c,2024-12-07 11:20:04.848992+00,D80C,0,0,2
85035ef6-dbf9-41e5-b158-727a03fe486f,2024-12-07 11:24:05.717327+00,D80C,0,0,1
d66d5549-7f47-418e-a9c7-fea7ed8e2294,2024-12-07 11:36:38.465013+00,D80C,1,0,0
9efde2d1-45d6-44b5-ab27-9ef26cfd5cf6,2024-12-07 11:37:08.593062+00,D80C,0,0,1
6d8c7219-3531-4b8e-aef4-0b58835aa742,2024-12-07 11:37:38.592148+00,D80C,2,2,1
b6929542-9aa1-4014-aec7-ff4c92eaada4,2024-12-07 11:38:08.689186+00,D80C,1,0,7
44c3573a-633f-490c-b37b-24f667b14ee5,2024-12-07 11:38:38.834394+00,D80C,0,0,1
20e23dc6-0e06-455d-81ea-4583094c7e17,2024-12-07 11:40:09.08515+00,D80C,0,1,4
766034ee-9e45-4ecd-99ba-816ec5b3461b,2024-12-07 11:45:09.80962+00,D80C,1,0,0
5e24c1b0-828b-4747-b5db-1f47e5a50ea2,2024-12-07 11:55:41.459137+00,D80C,0,0,1
cb8c642d-0c51-49f2-abcd-42ee48ac0d28,2024-12-07 11:56:11.605485+00,D80C,0,0,1
be6201c4-eb2b-46a1-865a-77e817948d09,2024-12-07 11:56:41.701801+00,D80C,0,0,3
afb95bf9-02b0-4ba5-a21d-f2d133b4fce4,2024-12-07 11:57:11.829888+00,D80C,0,0,1
80d69474-4830-49a3-9b7b-b6ae19a021b5,2024-12-07 11:57:41.953759+00,D80C,0,0,3
f7e03567-4dd2-4d88-a1eb-d34d3f187f7f,2024-12-07 11:58:12.078986+00,D80C,0,0,4
805ab5bc-cf60-4535-a4e4-e4d3cfaa1d47,2024-12-07 11:58:42.202973+00,D80C,0,0,2
714c131b-f6bf-413a-b23b-acde86c79226,2024-12-07 12:31:17.683938+00,D80C,2,0,3
67841496-16bb-49f7-9256-938eb290784f,2024-12-07 12:31:47.810865+00,D80C,1,1,0
d008a411-42b9-4d82-9c9d-405e30ab6cac,2024-12-07 12:32:18.031803+00,D80C,2,0,0
889b17bb-f069-4b87-9a43-41b678ac7446,2024-12-07 12:32:48.059509+00,D80C,0,1,1
a420e940-329e-4125-9ff8-7306cb4d051c,2024-12-07 12:33:18.185614+00,D80C,0,1,4
1bfa1d78-5599-4427-8b3d-085f0da5da18,2024-12-07 12:33:48.186389+00,D80C,0,0,2
5179376f-fb54-46bf-a7ae-d0ab49bc3061,2024-12-07 12:34:18.314472+00,D80C,1,2,1
b9257e62-6e3e-44e4-8246-1d9ba22ff957,2024-12-07 12:34:48.43044+00,D80C,0,2,1
3e5468f2-60c1-4065-b517-22191cb68528,2024-12-07 12:35:18.446414+00,D80C,1,2,3
e7dd11a4-a624-4275-b80a-427536904be5,2024-12-07 12:35:48.555073+00,D80C,1,1,3
a0aea597-2a13-4e44-a9c5-5b720555e8be,2024-12-07 12:36:18.682284+00,D80C,0,0,1
687c6281-e37f-407b-bcdf-3d4a711b5f09,2024-12-07 12:36:48.780282+00,D80C,1,0,1
d7b01352-e6f8-40cf-a3a8-32b2c352a702,2024-12-07 12:41:19.653087+00,D80C,0,0,2
9ce36fee-4967-43a3-8cda-d3d569e572e0,2024-12-07 12:49:21.147896+00,D80C,1,0,0
a13d3265-1564-4ddf-b4e8-5a29307a1b2c,2024-12-07 12:49:51.17097+00,D80C,0,0,4
8a2ea2eb-78b4-4f93-a91c-626123ef18c8,2024-12-07 12:52:51.646266+00,D80C,0,1,0
efa5e497-95ab-4823-bf04-bd28d33f05f8,2024-12-07 21:35:29.040407+00,D80C,0,0,1
c03fe67b-9543-4f35-86cc-a2989e209ea1,2024-12-08 08:57:59.508418+00,D80C,0,0,2
858c088f-7ea4-4b30-913f-a708db3f8451,2024-12-08 08:58:29.624055+00,D80C,0,0,1
